model,family,scene,level,intent_score,execution_score,completion_rate
XVLA,VLA,S4,L0,38.5,34.9,39.3
XVLA,VLA,S4,L1,6.9,5.9,3.3
XVLA,VLA,S4,L2,29.4,23.2,25.2
XVLA,VLA,S4,L3,24.5,17.2,16.7
ACoT-VLA,VLA,S1,L0,100.0,100.0,100.0
ACoT-VLA,VLA,S1,L1,8.7,6.2,6.3
ACoT-VLA,VLA,S1,L2,60.9,57.2,59.4
ACoT-VLA,VLA,S1,L3,48.0,45.5,42.1
ACoT-VLA,VLA,S2,L0,96.4,91.6,89.4
ACoT-VLA,VLA,S2,L1,76.3,53.4,52.5
ACoT-VLA,VLA,S2,L2,40.0,33.5,26.6
ACoT-VLA,VLA,S2,L3,34.0,25.0,18.3
ACoT-VLA,VLA,S3,L0,95.6,95.4,89.4
ACoT-VLA,VLA,S3,L1,77.5,77.0,64.8
ACoT-VLA,VLA,S3,L2,30.3,30.3,0.3
ACoT-VLA,VLA,S3,L3,39.7,39.4,1.9
ACoT-VLA,VLA,S4,L0,78.7,72.8,72.6
ACoT-VLA,VLA,S4,L1,23.6,23.6,23.3
ACoT-VLA,VLA,S4,L2,26.2,22.0,18.4
ACoT-VLA,VLA,S4,L3,20.3,15.2,15.4
Lingbot-VLA,VLA,S1,L0,80.9,78.4,82.5
Lingbot-VLA,VLA,S1,L1,0.0,0.0,0.0
Lingbot-VLA,VLA,S1,L2,24.2,23.7,23.8
Lingbot-VLA,VLA,S1,L3,46.4,43.5,37.2
Lingbot-VLA,VLA,S2,L0,77.1,67.6,74.4
Lingbot-VLA,VLA,S2,L1,7.0,5.8,0.0
Lingbot-VLA,VLA,S2,L2,32.5,28.0,23.5
Lingbot-VLA,VLA,S2,L3,6.6,4.1,1.7
Lingbot-VLA,VLA,S3,L0,99.1,98.6,97.5
Lingbot-VLA,VLA,S3,L1,24.8,24.7,9.8
Lingbot-VLA,VLA,S3,L2,33.2,32.6,0.2
Lingbot-VLA,VLA,S3,L3,29.8,29.2,0.1
Lingbot-VLA,VLA,S4,L0,58.0,47.1,51.1
Lingbot-VLA,VLA,S4,L1,8.9,6.3,7.3
Lingbot-VLA,VLA,S4,L2,18.4,16.8,18.4
Lingbot-VLA,VLA,S4,L3,16.3,14.2,10.8
Motus,WAM,S1,L0,73.4,68.8,70.6
Motus,WAM,S1,L1,11.3,11.1,13.8
Motus,WAM,S1,L2,26.9,26.1,33.1
Motus,WAM,S1,L3,29.8,26.7,27.0
Motus,WAM,S2,L0,78.2,69.9,81.3
Motus,WAM,S2,L1,53.1,43.6,50.8
Motus,WAM,S2,L2,17.9,13.6,8.2
Motus,WAM,S2,L3,16.2,11.0,8.3
Motus,WAM,S3,L0,67.6,61.2,45.6
Motus,WAM,S3,L1,42.6,37.0,17.8
Motus,WAM,S3,L2,30.9,26.0,2.0
Motus,WAM,S3,L3,36.6,31.8,10.3
Motus,WAM,S4,L0,51.7,34.9,36.3
Motus,WAM,S4,L1,11.6,4.0,1.3
Motus,WAM,S4,L2,20.6,13.1,15.2
Motus,WAM,S4,L3,20.6,14.4,15.8
FAST-WAM,WAM,S1,L0,83.1,83.1,94.4
FAST-WAM,WAM,S1,L1,0.0,0.0,0.0
FAST-WAM,WAM,S1,L2,13.0,4.0,3.1
FAST-WAM,WAM,S1,L3,41.9,36.2,31.1
FAST-WAM,WAM,S2,L0,82.5,76.5,85.0
FAST-WAM,WAM,S2,L1,32.0,14.1,11.7
FAST-WAM,WAM,S2,L2,24.8,20.4,14.6
FAST-WAM,WAM,S2,L3,18.0,5.3,2.9
FAST-WAM,WAM,S3,L0,98.3,98.1,95.6
FAST-WAM,WAM,S3,L1,60.4,59.7,42.0
FAST-WAM,WAM,S3,L2,30.6,30.5,0.3
FAST-WAM,WAM,S3,L3,45.0,43.3,4.9
FAST-WAM,WAM,S4,L0,52.1,48.4,56.3
FAST-WAM,WAM,S4,L1,9.1,6.9,4.0
FAST-WAM,WAM,S4,L2,21.1,20.6,23.2
FAST-WAM,WAM,S4,L3,16.7,15.5,15.4
